G4728	στενός
G4439	πύλη
G4116	πλατεῖα
G2149	εὐρύχωρος
G520	ἀπάγω
G684	ἀπώλεια
G2346	θλίβω
G2222	ζωή
G3641	ὀλίγος
G5578	ψευδοπροφήτης
G4263	πρόβατον
G2081	ἔσωθεν
G3074	λύκος
G727	ἅρπαξ
G1921	ἐπιγινώσκω
G3385	μήτι
G4816	συλλέγω
G173	ἄκανθα
G4718	σταφυλή
G5146	τρίβολος
G4810	σῦκον
G4550	σαπρός
G686	ἄρα
G4395	προφητεύω
G1140	δαιμόνιον
G1411	δύναμις
G3670	ὁμολογέω
G3763	οὐδέποτε
G672	ἀποχωρέω
G2038	ἐργάζομαι
G458	ἀνομία
G5429	φρόνιμος
G3618	οἰκοδομέω
G4073	πέτρα
G1028	βροχή
G4154	πνέω
G417	ἄνεμος
G4363	προσπίπτω
G2311	θεμελιόω
G285	ἄμμος
G4431	πτῶσις
G3753	ὅτε
G5055	τελέω
G1605	ἐκπλήσσομαι
G1322	διδαχή
G1849	ἐξουσία
G3015	λεπρός
G2511	καθαρίζω
G1614	ἐκτείνω
G680	ἅπτω
G3014	λέπρα
G3367	μηδείς
G2409	ἱερεύς
G3475	Μωϋσῆς
G3142	μαρτύριον
G1543	ἑκατόνταρχος
G1171	δεινῶς
G928	βασανίζω
G4721	στέγη
G2390	ἰάομαι
G1683	ἐμαυτοῦ
G4757	στρατιώτης
G1401	δοῦλος
G2296	θαυμάζω
G5118	τοσοῦτος
G4102	πίστις
G1424	δυσμή
G2240	ἥκω
G347	ἀνακλίνω
G1857	ἐξώτερος
G1030	βρυγμός
G1543	ἑκατοντάρχης
G4100	πιστεύω
G5610	ὥρα
G3994	πενθερά
G4445	πυρέσσω
G4446	πυρετός
G3798	ὀψία
G769	ἀσθένεια
G2753	κελεύω
G1320	διδάσκαλος
G258	ἀλώπηξ
G5454	φωλεός
G2682	κατασκήνωσις
G2827	κλίνω
G2010	ἐπιτρέπω
G2290	θάπτω
G3498	νεκρός
G1684	ἐμβαίνω
G4578	σεισμός
G5620	ὥστε
G2572	καλύπτω
G2949	κῦμα
G2518	καθεύδω
G1169	δειλός
G2008	ἐπιτιμάω
G1055	γαλήνη
G4217	ποταπός
G5219	ὑπακούω
G1046	Γαδαρηνός
G5221	ὑπαντάω
G3419	μνημεῖον
G5467	χαλεπός
G2896	κράζω
G5602	ὧδε
G2540	καιρός
G3112	μακρός
G34	ἀγέλη
G1006	βόσκω
G1142	δαίμων
G3729	ὁρμάω
G2911	κρημνός
G599	ἀποθνῄσκω
G5222	ὑπάντησις
G3327	μεταβαίνω
G1276	διαπεράω
G2398	ἴδιος
G2825	κλίνη
G2293	θαρσέω
G987	βλασφημέω
G1761	ἐνθύμησις
G2444	ἱνατί
G2123	εὐκοπώτερος
G3624	οἶκος
G5108	τοιοῦτος
G3855	παράγω
G5058	τελώνιον
G3156	Μαθθαῖος
G450	ἀνίστημι
G345	ἀνάκειμαι
G268	ἁμαρτωλός
G4873	συνανάκειμαι
G2395	ἰατρός
G3129	μανθάνω
G1656	ἔλεος
G2378	θυσία
G3567	νυμφών
G3566	νυμφίος
G522	ἀπαίρω
G1911	ἐπιβάλλω
G1915	ἐπίβλημα
G4470	ῥάκος
G46	ἄγναφος
G3820	παλαιός
G4138	πλήρωμα
G5501	χείρων
G4978	σχίσμα
G3631	οἶνος
G3501	νέος
G779	ἀσκός
G1632	ἐκχέω
G2537	καινός
G297	ἀμφότεροι
G4933	συντηρέω
G2980	λαλέω
G758	ἄρχων
G2364	θυγάτηρ
G2007	ἐπιτίθημι
G131	αἱμορροέω
G1427	δώδεκα
G2094	ἔτος
G3693	ὄπισθεν
G2899	κράσπεδον
G834	αὐλητής
G2350	θορυβέω
G2877	κοράσιον
G2606	καταγελάω
G2902	κρατέω
G5345	φήμη
G5185	τυφλός
G1690	ἐμβριμάομαι
G1310	διαφημίζω
G2974	κωφός
G2968	κώμη
G4697	σπλαγχνίζομαι
G4660	σκύλλω
G4496	ῥίπτω
G4166	ποιμήν
G2326	θερισμός
G2040	ἐργάτης
G1189	δέω
G4341	προσκαλέομαι
G169	ἀκάθαρτος
G652	ἀπόστολος
G5376	Φίλιππος
G918	Βαρθολομαῖος
G2381	Θωμᾶς
G256	Ἁλφαῖος
G2280	Θαδδαῖος
G2581	Καναναῖος
G2469	Ἰσκαριώτης
G3853	παραγγέλλω
G4541	Σαμαρίτης
G770	ἀσθενέω
G1432	δωρεάν
G2932	κτάομαι
G696	ἄργυρος
G5475	χαλκός
G4082	πήρα
G4464	ῥάβδος
G3306	μένω
G1515	εἰρήνη
G1994	ἐπιστρέφω
G1209	δέχομαι
G1621	ἐκτινάσσω
G2868	κονιορτός
G414	ἀνεκτός
G4670	Σόδομα
G1116	Γόμορρα
G3319	μέσος
G185	ἀκέραιος
G3146	μαστιγόω
G71	ἄγω
G1881	ἐπανίσταμαι
G1118	γονεύς
G2289	θανατόω
G5278	ὑπομένω
G5056	τέλος
G3617	οἰκοδεσπότης
G954	Βεελζεβούλ
G1941	ἐπικαλέω
G3615	οἰκιακός
G601	ἀποκαλύπτω
G3775	οὖς
G1430	δῶμα
G615	ἀποκτείνω
G4765	στρουθίον
G787	ἀσσάριον
G4453	πωλέω
G427	ἄνευ
G705	ἀριθμέω
G720	ἀρνέομαι
G3162	μάχαιρα
G1369	διχάζω
G3565	νύμφη
G4716	σταυρός
G4222	ποτίζω
G3398	μικρός
G4221	ποτήριον
G5593	ψυχρός
G3440	μόνον
G1299	διατάσσω
G1201	δεσμωτήριον
G4328	προσδοκάω
G308	ἀναβλέπω
G5560	χωλός
G2097	εὐαγγελίζω
G2563	κάλαμος
G4531	σαλεύω
G3120	μαλακός
G5409	φορέω
G4055	περισσότερος
G2680	κατασκευάζω
G1084	γεννητός
G971	βιάζω
G973	βιαστής
G726	ἁρπάζω
G2243	Ἠλίας
G3664	ὅμοιος
G58	ἀγορά
G4377	προσφωνέω
G832	αὐλέω
G3738	ὀρχέομαι
G2354	θρηνέω
G2875	κόπτω
G5314	φάγος
G3630	οἰνοπότης
G5384	φίλος
