עָקֹד	2
H3836	7
יָתַר	73
מַקֵּל	10
לִבְנֶה	2
לַח	5
H3869	1
עַרְמוֹן	2
פָּצַל	1
פִּצְלָה	1
מַחְשֹׂף	1
יָצַג	16
רַ֫הַט	2
יָחַם	3
H4993c	20
קָשַׁר	32
עָטַף	10
H5848b	2
כָּבוֹד	133
תְּמוֹל	17
שִׁלְשֹׁם	19
H3654a	8
אַתֵּן	3
תָּלַל	6
חָלַף	22
מֹנֶה	1
נָצַל	131
עַתּוּד	15
בָּרֹד	2
מָשַׁח	43
נַחֲלָה	108
נׇכְרִי	33
עֹ֫שֶׁר	29
נָהַג	26
קִנְיָן	9
גָּזַז	10
תְּרָפִים	9
1099+	45
גִּלְעָד	51
נָשַׂג	38
תָּקַע	40
שִׂמְחָה	68
שִׁיר	68
תֹּף	15
נָטַשׁ	35
סָכַל	8
H0410a	5
כָּסַף	5
כָּר	1
חָפַשׂ	19
פֶּ֫שַׁע	64
דָּלַק	9
H7353	4
טְרֵפָה	8
בָּקַשׁ	155
חֹ֫רֶב	12
קֶ֫רַח	7
נָדַד	21
לוּלֵא	13
פַּ֫חַד	39
רֵיקָם	16
יְגִיעַ	15
עֵד	37
לָקַט	16
גַּל	12
גַּלְעֵד	1
מִצְפָּה	15
צְפִּיָּה	26
יָרָא	19
זָבַח	92
זֶ֫בַח	90
מַחֲנֶה	85
מַחֲנַיִם	9
שׁוֹר	50
צָרַר	42
חָצָה	12
פְּלֵיטָה	23
H6994	4
H6510	8
פַּר	35
עַ֫יִר	7
רֶ֫וַח	2
פָּגַשׁ	13
מַעֲבָר	3
יַבֹּק	6
אָבַק	1
יָקַע	5
יִשְׂרָאֵל	543
H8280	2
פְּנוּאֵל	1
זָרַח	16
H6439a	3
צָלַע	3
גִּיד	5
נָשֶׁה	1
אַחֲרוֹן	46
חָנַן	56
רָצָה	39
עוּל	4
דָּפַק	3
נָהַל	10
אַט	5
סֻכּוֹת	10
סֻכָּה	20
H2513	13
H2544	4
H7927	4
קְשִׂיטָה	3
יַלְדָּה	3
טָמְאָה	45
